index,order_id,order_value,order_items_count,customer_id,created_timestamp_local,has_instruction,logistics_dropoff_distance,delivery_postal_code,delivery_geohash_precision8,has_phone_number,has_call_instruction,has_leave_instruction,has_lift_instruction,has_lobby_instruction,has_gate_instruction,has_knock_instruction,has_bell_instruction,hour,is_w21xz,is_w23b7
618,b8ds-tqhf,40.44,10,h6huq0td,2021-03-11T20:19:50,True,58.6561378035,828868,w23bh248,False,False,False,False,False,False,False,False,20,False,False
619,x5xx-j2d2,35.6,10,t2nod4rq,2021-03-12T18:42:48,True,39.0251479348,530548,w21zu55k,False,False,False,False,False,False,False,False,18,False,False
620,x6qu-14kt,42.49,12,m4ycd3tm,2021-03-27T11:29:17,True,40.0678108544,650248,w21z9jc4,False,False,True,False,False,False,False,False,11,False,False
621,x3yw-rhc5,14.4,11,sgmnf9sb,2021-03-02T22:08:52,True,44.9867845388,550105,w21zg97y,False,False,False,False,False,False,False,False,22,False,False
622,y9zp-58q7,38.15,10,x4rvv3iy,2021-03-23T20:35:26,True,71.5208276378,102112,w21z61q6,False,False,False,False,False,False,False,False,20,False,False
623,s6km-j0on,70.0,10,r3lex7lx,2021-03-26T17:47:38,True,147.0398435239,761509,w23b4cme,False,False,False,False,False,False,False,False,17,False,False
624,v1zv-fa6q,22.8,12,s1mpt6ow,2021-03-12T16:26:18,True,40.6952078214,520875,w21ztn2b,False,False,False,False,False,False,False,False,16,False,False
625,y5qw-z794,109.85,18,e7nfa1ve,2021-03-11T18:00:30,True,21.3926178995,520139,w21ztt4w,False,False,False,False,False,False,False,False,18,False,False
626,u6kx-28ix,35.0,20,j4eyj9br,2021-03-03T23:53:09,True,6.8058506434,542335,w21zung4,False,False,False,False,False,False,False,True,23,False,False
627,x1bg-gih6,249.55,15,z6ksy0ap,2021-03-22T22:42:36,True,89.1639470252,637634,w21xxq71,False,False,False,False,False,False,False,False,22,False,False
628,y2xz-e98k,101.05,15,sgtcs7ww,2021-03-22T18:44:55,True,98.3969007654,018987,w21z71r0,False,False,False,False,False,False,False,False,18,False,False
629,f0yw-gfsp,19.1,10,sgfw9otu,2021-03-14T21:29:06,True,21.4591902984,141052,w21z65qw,False,False,False,False,False,False,False,False,21,False,False
630,y5qw-ujhe,30.31,10,u4qie3nh,2021-03-10T09:06:37,True,43.3916679432,527842,w21ztnhv,False,False,False,False,False,True,False,False,9,False,False
631,y2sf-2izi,45.67,11,sg9r9yjk,2021-03-18T12:59:39,True,18.0332164598,649823,w21z8hkj,False,False,False,False,False,False,False,True,12,False,False
632,y2sf-jeio,40.55,12,sg0vm7dd,2021-03-19T21:03:09,True,41.6722247468,611164,w21z84pu,False,False,True,False,False,False,False,False,21,False,False
634,idib-4wg8,20.8,10,sguq3ryq,2021-03-20T10:35:35,True,795.3609163277,128049,w21z3hpr,False,False,False,False,False,False,False,False,10,False,False
635,b8ds-ca5o,41.9,11,sgsum3jt,2021-03-05T11:04:19,True,6.8931667434,792438,w21zgv93,False,False,False,False,False,False,False,False,11,False,False
636,x1sy-ueh0,58.55,10,t9ypa8dr,2021-03-26T16:46:24,True,33.8170147473,751364,w23b4rh2,False,False,False,False,False,False,False,False,16,False,False
637,x5vb-kyqe,25.0,13,g5zqy9aq,2021-03-22T18:41:38,True,27.6833586937,730773,w23b1zx0,False,False,False,False,False,False,False,False,18,False,False
638,x8yk-zlbc,42.6,13,sgrsq2eu,2021-03-03T09:33:06,False,46.6783489513,760829,w23b4c8b,False,False,False,False,False,False,False,False,9,False,False
639,y2sf-2ewj,43.08,10,a2fjg1sv,2021-03-29T18:00:30,True,91.8746867975,648155,w21z8kfn,False,False,False,False,False,False,False,False,18,False,False
640,b5ik-fogi,30.0,15,l5tol0fx,2021-03-13T11:44:28,True,13.7246037431,670527,w21zchrk,False,False,False,False,False,False,False,False,11,False,False
641,x8cp-e8he,21.1,10,sg59ah7z,2021-03-22T12:58:50,True,21.8253911093,350143,w21zed8t,False,False,False,False,False,False,False,False,12,False,False
642,i1cb-js5k,49.45,10,sgydp2gu,2021-03-21T22:01:20,True,78.1901539535,457400,w21zkyw0,False,False,False,False,False,False,False,True,22,False,False
643,x1lt-1qir,70.36,11,o2gqh8ml,2021-03-07T13:24:47,True,121.8564616918,189651,w21z7jp0,False,False,False,False,False,False,False,False,13,False,False
644,x8yk-2x80,23.2,10,m1ivq5cj,2021-03-03T09:10:21,True,40.1845531842,761511,w23b4cxn,False,False,False,False,False,False,False,False,9,False,False
645,x1sy-06eg,50.0,14,t0bvd3we,2021-03-03T16:12:41,True,591.3475402995,730524,w23b1uu3,False,False,False,False,False,True,False,False,16,False,False
646,y2xz-jl3b,72.94,15,h5inl8pm,2021-03-21T11:51:06,True,52.1064739603,239059,w21z6ghr,False,False,False,False,False,False,False,False,11,False,False
647,x6qu-pub6,30.24,11,sgvct6qd,2021-03-15T19:52:02,True,36.0548270141,129582,w21z90tt,True,False,False,False,False,False,False,False,19,False,False
648,x3yw-z18v,17.1,15,sga7u73r,2021-03-19T13:33:11,True,79.3163674182,538804,w21zu3cw,False,False,False,False,False,False,False,False,13,False,False
649,w7xc-yh4q,202.6,16,sgpid9aq,2021-03-04T11:29:26,True,69.9214085702,049321,w21z71x6,False,False,False,False,False,False,False,False,11,False,False
650,x6wy-x6vk,84.9,11,i8fyx3xv,2021-03-07T18:16:47,True,64.2780960177,823308,w23bh235,False,False,False,True,True,False,False,False,18,False,False
651,i1cb-l0zu,61.41,16,sg58t2te,2021-03-23T23:07:39,True,21.4051412136,417642,w21zs9gd,False,False,False,False,False,False,False,True,23,False,False
652,x8yk-14xt,43.95,14,e2wuz6rk,2021-03-06T16:18:52,True,67.4980612253,762462,w23b55v6,False,False,False,False,False,False,False,False,16,False,False
653,y2xz-ibgg,73.89,20,r3zpa7uv,2021-03-21T19:17:02,True,253.6580611425,238352,w21z6gx9,False,False,False,False,False,False,False,False,19,False,False
654,x1sy-s0qq,67.9,13,g4xin2ix,2021-03-29T12:26:05,False,57.0583690664,730036,w23b1rhf,False,False,False,False,False,False,False,False,12,False,False
655,e8jn-fiof,35.9,13,m7ptt3xr8,2021-03-26T16:01:25,True,107.3133016002,560463,w21zg2fe,False,False,True,False,False,True,False,False,16,False,False
656,n7no-ez71,103.59,26,k8ykm6un,2021-03-07T16:55:57,True,69.4125609143,677721,w21zckgh,False,False,False,False,False,False,False,False,16,False,False
657,w1us-ea8r,107.97,13,sgmpx8ms,2021-03-13T17:12:06,True,70.3629775633,649223,w21xxsz6,False,False,False,False,False,False,False,False,17,False,False
658,x1sy-m2g7,49.13,12,v1baa2nj,2021-03-16T20:36:39,True,15.368034661,731783,w23b4p7x,False,False,False,False,False,False,False,False,20,False,False
659,x3ao-uk71,100.88,12,sg7157ma,2021-03-31T10:00:40,True,38.8182114127,569059,w21zghur,False,False,False,False,False,False,False,False,10,False,False
660,x1sy-v5u6,100.1,17,h3axn8yc,2021-03-12T14:07:08,True,16.898794689,750320,w23b4rq7,False,False,False,False,False,False,False,False,14,False,False
661,i1cb-rkgj,40.94,10,g7hfx0sd,2021-03-29T10:26:51,True,60.4205526095,461057,w21zt1pc,False,False,False,False,False,False,False,False,10,False,False
662,v3oh-clbw,30.3,19,l8uhx0zs,2021-03-29T12:13:24,True,17.8261693408,651445,w21z8tuw,False,False,True,False,False,False,True,True,12,False,False
663,x5vb-p1td,20.7,10,b6jlz7fk,2021-03-03T13:05:18,True,101.8612724594,786662,w21zfrrz,False,False,False,False,False,False,False,False,13,False,False
664,x1lt-3bcg,40.74,13,h1kia3mc,2021-03-28T09:01:35,True,19.7259844708,308702,w21zdbye,False,False,False,False,False,False,False,False,9,False,False
665,y5qw-zn30,55.18,13,o1mkt8qy,2021-03-30T20:59:26,True,15.5863762225,520707,w21ztphk,False,False,False,False,False,False,False,False,20,False,False
666,x1sy-8q06,97.69,10,sgggq7qb,2021-03-19T20:33:54,True,43.9508242386,730601,w23b1vym,False,False,False,False,False,False,False,False,20,False,False
667,v6rt-7sae,22.5,12,sglmn0fj,2021-03-15T20:28:47,True,10.7601306997,416827,w21zs8dt,False,False,False,False,False,False,False,False,20,False,False
668,x7sf-k5vu,17.3,10,i3jtt3oi,2021-03-13T22:33:46,True,33.3700834122,248368,w21z6emk,False,False,False,False,False,False,False,False,22,False,False
669,p6be-32cp,34.8,12,sgmdi8xh,2021-03-09T14:29:43,True,37.1700347142,730037,w23b1rh5,False,False,False,False,False,False,False,False,14,False,False
670,x8yk-cszz,40.49,10,p3zdq5el,2021-03-06T13:35:32,True,41.6876915566,761428,w23b54gn,False,False,False,False,False,False,False,False,13,False,False
671,y9zp-j92v,55.5,10,sgpss6no,2021-03-21T08:57:49,True,81.462276832,248469,w21z6ksz,False,False,False,False,False,False,False,False,8,False,False
672,e8ew-j7aa,60.7,10,sgjxt7up,2021-03-21T16:58:49,True,10.6643462757,320094,w21ze29m,False,False,False,False,False,False,False,False,16,False,False
673,x1lt-f8pk,55.6,10,sgjcj56g,2021-03-17T18:56:58,False,22.0653497035,258354,w21z6x5e,False,False,False,False,False,False,False,False,18,False,False
674,y2sf-8wn3,39.88,10,c8cxy3xx,2021-03-27T02:27:23,True,72.9117639935,639779,w21xxkwh,False,False,False,False,False,False,False,False,2,False,False
675,x6qu-0gif,39.6,10,n9ihi5dp,2021-03-25T17:13:45,True,15.0337400313,659921,w21z9n4d,False,False,False,False,False,False,False,False,17,False,False
676,n7no-5fpu,40.53,12,q0tfz4le,2021-03-24T16:07:24,True,74.5282799828,682692,w21zbyvr,True,False,False,False,False,False,False,False,16,False,False
677,v1zv-cu7p,21.2,13,u1iyf3nn,2021-03-12T20:05:52,True,294.0178607312,,w21zsfw0,False,False,False,False,False,False,False,False,20,False,False
678,x1sy-zbdh,33.75,10,w5ulo2tr,2021-03-26T15:42:39,True,114.1061024905,738907,w23b4nbb,False,False,False,False,False,False,False,False,15,False,False
679,x8yk-q686,36.35,11,sgqpv0le,2021-03-19T21:14:38,False,25.2113613107,752106,w23b4x4c,False,False,False,False,False,False,False,False,21,False,False
680,y9zp-oima,50.6,11,d6bji2zo,2021-03-10T21:16:03,False,20.2933174021,120415,w21z3qsh,False,False,False,False,False,False,False,False,21,False,False
681,x1rx-klil,166.3,37,a4aqn0wl,2021-03-24T20:45:05,True,88.8560807921,,w21zkp4b,False,False,False,False,False,False,False,False,20,False,False
682,x7px-slbx,57.75,10,sglsg3jz,2021-03-04T19:05:03,True,24.9414098496,649412,w21z8m08,False,False,False,False,False,False,False,False,19,False,False
683,v4pc-9lgk,33.0,12,l6wdt5tm,2021-03-05T00:14:01,True,25.9805359241,427990,w21zkx2j,False,False,False,False,False,False,False,False,0,False,False
684,x8yk-ftga,39.58,12,z0qfr0th,2021-03-31T20:39:42,False,54.045211516,760459,w23b54dq,False,False,False,False,False,False,False,False,20,False,False
685,x7kq-25s5,91.2,15,d6ans0vv,2021-03-16T11:50:23,True,15.1469812916,510426,w21zv96s,False,False,False,False,False,False,False,False,11,False,False
686,y9zp-mimr,39.44,13,sgpbadn5,2021-03-31T14:24:11,False,59.9110581739,267187,w21z9bye,False,False,False,False,False,False,False,False,14,False,False
687,y5qw-yode,99.05,30,sgx08lhn,2021-03-26T20:37:12,True,16.1557738626,,w21ztrx5,False,False,False,False,False,False,False,False,20,False,False
688,y9zp-1by9,173.0,13,sgjqnu8x,2021-03-14T10:25:47,True,21.8502446,129788,w21z3kc9,False,False,False,False,False,False,False,False,10,False,False
689,y9zp-83k0,54.02,10,sgmyy9ja,2021-03-21T20:07:16,True,31.1326186204,100087,w21z60qx,False,False,False,False,False,False,False,False,20,False,False
690,v9eh-ddos,24.0,12,k7lmg4zx,2021-03-09T12:12:56,True,41.5902631419,824217,w21zupq8,False,False,False,False,False,False,True,True,12,False,False
691,v1zq-mdvj,33.9,14,sgnpe2th,2021-03-14T18:44:32,True,19.2937192688,510117,w21zv912,False,False,False,False,False,False,False,False,18,False,False
692,x6qu-3ma7,33.45,10,z1kjl2cd,2021-03-17T11:44:21,True,24.9296437753,120310,w21z9224,False,False,False,False,False,False,False,False,11,False,False
693,x3yw-vg0n,21.0,11,a3has8lb,2021-03-26T18:09:42,True,48.2436230417,530602,w21zu187,False,False,False,False,False,False,False,False,18,False,False
694,y9zp-mtn1,67.71,12,sgdah9eg,2021-03-27T17:06:57,True,11.2785701094,130023,w21z3whb,False,False,False,False,False,False,False,False,17,False,False
695,y2xz-e5m8,81.1,11,sgzbgjqz,2021-03-21T15:02:48,True,52.0678950661,248306,w21z6evc,False,False,False,False,False,False,False,False,15,False,False
696,x2bk-is02,24.2,10,e8tfq3mb,2021-03-04T16:13:54,True,41.385939482,Woodlands Drive,w23b4nvb,False,False,False,False,False,False,False,False,16,False,False
697,x5dx-jiep,54.56,11,sg1f698x,2021-03-19T20:45:36,False,42.2166092316,403002,w21zkpzb,False,False,False,False,False,False,False,False,20,False,False
698,v0hf-mnrm,28.6,11,sgk66ium,2021-03-03T18:34:01,True,27.2254154026,120607,w21z3m3m,False,False,False,False,False,False,False,False,18,False,False
699,n7no-3v18,45.31,10,sgaha4pr,2021-03-28T16:15:07,False,41.7146715176,680223,w21zbg86,False,False,False,False,False,False,False,False,16,False,False
700,y9zp-nda9,45.94,11,sgdck0gi,2021-03-31T23:13:20,True,86.2988770303,150059,w21z66e5,False,False,False,False,False,False,False,False,23,False,False
701,s3sz-fsky,19.6,10,l8uwv4rz,2021-03-14T07:50:41,True,55.1977744968,130028,w21z3tez,False,False,False,False,False,False,False,False,7,False,False
702,x1lt-elnk,34.05,10,sgjwp36u,2021-03-17T16:30:00,True,138.1508113182,329776,w21ze1pn,False,False,False,False,False,False,False,False,16,False,False
703,x6qu-8jl7,44.9,16,sgn6auiu,2021-03-07T12:54:27,False,41.0007120616,587977,w21z9mk6,False,False,False,False,False,False,False,False,12,False,False
704,x1sy-s01m,31.68,11,d3iql9wp,2021-03-23T11:05:41,True,81.1543014503,737919,w23b1sqw,False,False,False,False,False,False,False,False,11,False,False
705,y2xz-rldm,46.05,12,sgzfm0aa,2021-03-03T17:03:11,True,52.6668974378,161002,w21z6ejm,False,False,False,False,False,False,False,False,17,False,False
706,y2xz-8272,53.64,15,c8tmw5ho,2021-03-19T22:41:02,True,38.799030995,189558,w21z75z6,False,False,False,False,False,False,False,False,22,False,False
707,q7ex-6fsl,24.5,12,l7tvx0mf,2021-03-11T19:14:33,False,87.9351626053,560513,w21zg1vk,False,False,False,False,False,False,False,False,19,False,False
708,e8jn-9gz3,36.11,11,z6cdw0ex,2021-03-31T17:29:35,False,10.2070275455,575358,w21zdy81,False,False,False,False,False,False,False,False,17,False,False
709,b8ds-3aez,41.8,13,sgfdo6xf,2021-03-28T15:27:30,True,39.585612098,823303,w21zurtd,False,False,True,False,False,False,False,False,15,False,False
710,i1cb-u3dq,42.88,19,b2ljw9rs,2021-03-11T12:01:14,True,56.6405403167,410650,w21zs6rn,False,False,False,False,False,False,False,False,12,False,False
711,s2xn-i9b4,86.5,11,i7nld9ug,2021-03-25T17:45:44,True,34.681826711,048979,w21z71ty,False,False,False,False,False,False,False,False,17,False,False
712,y9zp-sczh,53.64,17,sgx3itgi,2021-03-08T18:01:05,True,171.3670026606,,w21z39kc,False,False,False,False,False,False,False,False,18,False,False
713,x8yk-wnwz,51.9,13,s3vbh4wd,2021-03-22T17:28:09,True,49.3999852502,754121,w23b4z3m,False,False,False,False,False,False,False,False,17,False,False
714,a0py-mig3,16.1,12,d4ean1yz,2021-03-27T02:56:30,True,59.6408098226,228070,w21z7j5v,False,False,False,False,False,False,False,False,2,False,False
715,b8ds-02dj,53.72,10,g1xaf4oc,2021-03-13T14:38:39,False,17.133116521,791453,w21zgtzv,False,False,False,False,False,False,False,False,14,False,False
716,x8tv-j507,31.1,10,sgiwh5lc,2021-03-27T11:40:39,False,70.0434432875,310262,w21ze69q,False,False,False,False,False,False,False,False,11,False,False
717,v7jn-c7gg,21.3,11,sgqinm9j,2021-03-26T08:30:19,True,37.9666505987,159955,w21z64ud,False,False,False,False,False,False,False,True,8,False,False
718,q8lm-9w2x,28.8,10,sgscw1pf,2021-03-14T11:27:38,True,27.7686829239,310222,w21zek38,False,False,False,False,False,False,False,False,11,False,False
719,d3nr-wb7g,35.16,11,sgrqf2nl,2021-03-01T13:03:22,True,18.6163455352,530606,w21zgcx3,False,False,False,False,False,False,False,False,13,False,False
720,y5qw-4d8o,39.09,11,sggbt5zk,2021-03-24T10:54:58,True,20.8861170921,518144,w21zv3et,False,False,False,False,False,False,False,False,10,False,False
721,y5qw-gsww,48.23,14,b7ufd5ps,2021-03-30T19:49:00,True,88.7853798584,510768,w21zv47k,False,False,False,False,False,False,False,False,19,False,False
722,ndkw-r30x,15.4,10,p7wed0vg,2021-03-17T16:27:09,True,71.3657851093,640559,w21z8nt7,False,False,False,False,False,False,False,False,16,False,False
723,y9zp-lfaq,53.7,11,sg8vq9j3,2021-03-09T08:03:24,True,62.8298644773,118703,w21z36y1,False,False,False,False,False,False,False,False,8,False,False
724,x1sy-iz4w,86.81,18,s8uge8gi,2021-03-16T08:43:27,True,1.1928718541,733185,w23b1mrf,False,False,False,False,False,False,False,False,8,False,False
725,x1lt-1nhb,45.74,12,b9uvb9ps,2021-03-28T16:10:27,False,61.2016506266,329216,w21zdczd,False,False,False,False,False,False,False,False,16,False,False
726,d3nr-ekmt,52.15,11,y7ttl0ho,2021-03-26T21:00:52,True,49.8226964385,530615,w21zgcns,False,False,False,False,False,False,False,False,21,False,False
727,n7no-18o8,24.95,10,h6bav2iv,2021-03-28T10:41:02,True,22.1389626794,670520,w21zck2m,False,False,False,False,False,False,False,False,10,False,False
